Layer name;0-43200[sec];0-43200[sec];0-43200[sec];43200-86400[sec];43200-86400[sec];43200-86400[sec];86400-129600[sec];86400-129600[sec];86400-129600[sec];129600-172800[sec];129600-172800[sec];129600-172800[sec];172800-216000[sec];172800-216000[sec];172800-216000[sec]
Property;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele;Degree;Exclu. Nei;Exclu. Rele
1336;49.0;27.0;0.458;1.0;0.0;0.0;21.0;4.0;0.068;4.0;1.0;0.017;11.0;4.0;0.068
1337;27.0;13.0;0.333;1.0;0.0;0.0;15.0;6.0;0.154;4.0;1.0;0.026;13.0;5.0;0.128
1080;78.0;38.0;0.413;2.0;0.0;0.0;41.0;5.0;0.054;1.0;0.0;0.0;24.0;5.0;0.054
1125;64.0;31.0;0.413;4.0;0.0;0.0;41.0;10.0;0.133;2.0;0.0;0.0;3.0;0.0;0.0
1053;10.0;4.0;0.078;1.0;0.0;0.0;34.0;19.0;0.373;1.0;0.0;0.0;25.0;11.0;0.216
1073;50.0;26.0;0.366;1.0;0.0;0.0;27.0;8.0;0.113;1.0;0.0;0.0;27.0;8.0;0.113
1097;15.0;8.0;0.17;1.0;0.0;0.0;7.0;2.0;0.043;3.0;2.0;0.043;32.0;25.0;0.532
1189;47.0;23.0;0.338;1.0;0.0;0.0;24.0;9.0;0.132;2.0;1.0;0.015;25.0;10.0;0.147
1143;25.0;16.0;0.271;1.0;0.0;0.0;23.0;8.0;0.136;1.0;0.0;0.0;33.0;16.0;0.271
1075;30.0;8.0;0.098;1.0;0.0;0.0;53.0;22.0;0.268;2.0;1.0;0.012;41.0;14.0;0.171
1093;9.0;4.0;0.087;1.0;0.0;0.0;23.0;18.0;0.391;3.0;1.0;0.022;20.0;15.0;0.326
1138;41.0;23.0;0.324;1.0;0.0;0.0;31.0;17.0;0.239;1.0;0.0;0.0;21.0;8.0;0.113
1199;21.0;14.0;0.259;1.0;0.0;0.0;29.0;21.0;0.389;2.0;0.0;0.0;14.0;7.0;0.13
1146;33.0;18.0;0.29;2.0;0.0;0.0;24.0;11.0;0.177;1.0;0.0;0.0;25.0;13.0;0.21
1039;19.0;9.0;0.158;1.0;0.0;0.0;31.0;22.0;0.386;1.0;1.0;0.018;19.0;12.0;0.211
1164;23.0;6.0;0.097;1.0;0.0;0.0;44.0;27.0;0.435;2.0;0.0;0.0;20.0;7.0;0.113
1142;30.0;13.0;0.21;1.0;0.0;0.0;32.0;15.0;0.242;1.0;0.0;0.0;26.0;11.0;0.177
1047;16.0;7.0;0.127;1.0;0.0;0.0;30.0;22.0;0.4;1.0;0.0;0.0;24.0;12.0;0.218
1228;45.0;31.0;0.508;1.0;0.0;0.0;12.0;4.0;0.066;1.0;0.0;0.0;21.0;9.0;0.148
1144;5.0;0.0;0.0;0.0;0.0;0.0;43.0;27.0;0.458;1.0;0.0;0.0;28.0;16.0;0.271
1107;18.0;8.0;0.127;0.0;0.0;0.0;48.0;29.0;0.46;2.0;1.0;0.016;16.0;5.0;0.079
1109;17.0;15.0;0.405;0.0;0.0;0.0;15.0;12.0;0.324;1.0;1.0;0.027;8.0;5.0;0.135
1103;18.0;9.0;0.134;0.0;0.0;0.0;52.0;38.0;0.567;1.0;1.0;0.015;10.0;5.0;0.075
1210;25.0;9.0;0.148;0.0;0.0;0.0;14.0;7.0;0.115;1.0;1.0;0.016;42.0;24.0;0.393
1042;9.0;4.0;0.114;0.0;0.0;0.0;21.0;16.0;0.457;1.0;1.0;0.029;11.0;7.0;0.2
1063;20.0;11.0;0.229;0.0;0.0;0.0;17.0;9.0;0.188;1.0;0.0;0.0;22.0;18.0;0.375
1032;10.0;5.0;0.098;0.0;0.0;0.0;34.0;23.0;0.451;2.0;0.0;0.0;17.0;12.0;0.235
1208;19.0;13.0;0.283;0.0;0.0;0.0;23.0;19.0;0.413;1.0;0.0;0.0;10.0;8.0;0.174
1071;5.0;3.0;0.091;0.0;0.0;0.0;15.0;13.0;0.394;1.0;0.0;0.0;16.0;13.0;0.394
1180;25.0;19.0;0.442;0.0;0.0;0.0;10.0;7.0;0.163;1.0;0.0;0.0;15.0;9.0;0.209
1090;34.0;26.0;0.542;0.0;0.0;0.0;17.0;10.0;0.208;2.0;1.0;0.021;5.0;1.0;0.021
1200;15.0;8.0;0.186;0.0;0.0;0.0;15.0;8.0;0.186;1.0;0.0;0.0;24.0;15.0;0.349
1121;7.0;2.0;0.036;0.0;0.0;0.0;26.0;15.0;0.268;1.0;0.0;0.0;37.0;26.0;0.464
1104;26.0;23.0;0.548;0.0;0.0;0.0;9.0;4.0;0.095;1.0;0.0;0.0;14.0;8.0;0.19
1198;28.0;17.0;0.34;0.0;0.0;0.0;15.0;11.0;0.22;1.0;0.0;0.0;20.0;8.0;0.16
1092;14.0;7.0;0.194;0.0;0.0;0.0;14.0;8.0;0.222;1.0;0.0;0.0;17.0;11.0;0.306
1187;16.0;9.0;0.167;0.0;0.0;0.0;17.0;12.0;0.222;1.0;0.0;0.0;30.0;23.0;0.426
1215;14.0;9.0;0.225;0.0;0.0;0.0;25.0;20.0;0.5;1.0;0.0;0.0;8.0;3.0;0.075
1086;20.0;10.0;0.196;0.0;0.0;0.0;21.0;10.0;0.196;1.0;0.0;0.0;26.0;15.0;0.294
1335;13.0;8.0;0.145;0.0;0.0;0.0;34.0;23.0;0.418;1.0;0.0;0.0;20.0;12.0;0.218
1175;22.0;8.0;0.145;0.0;0.0;0.0;34.0;23.0;0.418;1.0;1.0;0.018;14.0;8.0;0.145
1193;15.0;10.0;0.192;0.0;0.0;0.0;10.0;5.0;0.096;1.0;1.0;0.019;35.0;27.0;0.519
1359;25.0;9.0;0.155;0.0;0.0;0.0;42.0;22.0;0.379;0.0;0.0;0.0;12.0;7.0;0.121
1067;24.0;18.0;0.562;0.0;0.0;0.0;14.0;8.0;0.25;0.0;0.0;0.0;2.0;0.0;0.0
1334;25.0;17.0;0.405;0.0;0.0;0.0;15.0;9.0;0.214;0.0;0.0;0.0;13.0;6.0;0.143
1360;27.0;14.0;0.269;0.0;0.0;0.0;15.0;9.0;0.173;0.0;0.0;0.0;26.0;15.0;0.288
