Id;fast_greedy;edge_betweenness;louvain;label_prop
0;2;1;1;1
1;2;1;1;1
2;2;1;1;1
3;2;1;1;1
4;2;1;1;1
5;2;1;1;1
6;2;1;1;1
7;2;1;1;1
8;2;1;1;1
9;2;1;1;1
10;2;1;1;1
11;2;1;1;1
12;2;1;1;1
13;2;1;1;1
14;2;1;1;1
15;2;1;1;1
16;2;1;1;1
17;2;1;1;1
18;2;1;1;1
19;2;1;1;1
20;2;1;1;1
21;2;1;1;1
22;2;1;1;1
23;2;1;1;1
24;2;1;1;1
25;2;1;1;1
26;2;1;1;1
27;2;1;1;1
28;2;1;1;1
29;2;1;1;1
30;2;1;1;1
31;2;1;1;1
32;2;1;1;1
33;2;1;1;1
34;2;1;1;1
35;2;1;1;1
36;2;1;1;1
37;2;1;1;1
38;2;1;1;1
39;2;1;1;1
40;2;1;1;1
42;2;1;1;1
43;2;1;1;1
44;2;1;1;1
45;2;1;1;1
46;2;1;1;1
47;2;1;1;1
48;2;1;1;1
50;1;2;2;2
51;1;2;2;2
52;1;2;2;2
53;1;3;3;2
54;1;2;2;2
55;1;3;3;2
56;1;2;2;2
57;1;4;3;3
58;1;2;2;2
59;1;3;3;2
60;1;4;3;3
61;1;3;3;2
62;1;3;3;2
63;1;2;2;2
64;1;3;3;2
65;1;2;2;2
66;1;3;3;2
67;1;3;3;2
68;1;2;2;2
69;1;3;3;2
70;1;2;2;2
71;1;3;3;2
72;1;2;2;2
73;1;3;2;2
74;1;3;2;2
75;1;2;2;2
76;1;2;2;2
77;3;2;2;2
78;1;3;2;2
79;1;3;3;2
80;1;3;3;2
81;1;3;3;2
82;1;3;3;2
83;1;2;2;2
84;1;3;3;2
85;1;2;2;2
86;1;2;2;2
87;1;2;2;2
88;1;3;3;2
89;1;3;3;2
90;1;3;3;2
91;1;2;2;2
92;1;3;3;2
93;1;4;3;3
94;1;3;3;2
95;1;3;3;2
96;1;3;3;2
97;1;3;2;2
100;3;5;4;4
101;1;2;2;2
102;3;5;4;4
103;3;5;4;4
104;3;5;4;4
105;3;6;4;5
107;3;6;4;5
108;3;5;4;4
109;3;5;4;4
110;3;5;4;4
111;3;5;4;4
112;3;5;4;4
113;1;2;2;2
114;1;2;2;2
115;3;5;4;4
116;3;5;4;4
117;4;7;5;6
118;3;6;4;5
119;1;2;2;2
120;3;5;4;4
121;1;2;2;2
122;3;6;4;5
123;1;2;2;2
124;3;5;4;4
125;3;5;4;4
126;1;2;2;2
127;1;2;2;2
128;3;5;4;4
129;3;5;4;4
130;3;6;4;5
132;3;5;4;4
133;1;2;2;2
134;3;5;4;2
136;3;5;4;4
137;3;5;4;4
138;1;2;2;2
139;3;5;4;4
140;3;5;4;4
141;3;5;4;4
142;1;2;2;2
143;3;5;4;4
144;3;5;4;4
145;3;5;4;4
146;3;2;2;2
147;3;5;4;4
49;2;1;1;1
41;2;8;1;1
99;1;3;3;2
149;1;2;2;2
98;1;4;3;3
106;1;9;3;2
148;3;5;4;4
135;3;6;4;5
131;4;7;5;6
